Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2017-08-13,Season 7,Episode 5,Eastwatch,sam tarly,"Archmaester, please. It's real. I've seen it.",People
2017-08-13,Season 7,Episode 5,Eastwatch,sam tarly,Archmaester --,People
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,petyr baelish,I've heard gossip that the Dragon Queen is quite beautiful.,People
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,petyr baelish,Jon is young and unmarried. Daenerys is young and unmarried.,People
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,petyr baelish,She's your sister,People
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,petyr baelish,Why did she come to Winterfell?,People
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,petyr baelish,Whatever your aunt,People
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,petyr baelish,"Sansa, I beg you! I loved your mother since the time I was a boy.",People
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,petyr baelish,I loved you. More than anyone.,People
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,petyr baelish,Sansa! I--,People
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,sam tarly,I wasn't sure if you'd remember me.,People
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,theon greyjoy,Jon.,People
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,theon greyjoy,He was.,People
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,theon greyjoy,She's not dead.,People
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,"It wouldo ve been mine anyway, eventually, but my father had other ideas.",People
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,You know him?,People
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,She's good.,People
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,She didn't tell you.,People
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,Bran and I worked it out. I had a High Septon's diary. Bran had whatever Bran has.,People
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,Your mother was Lyanna Stark.,People
2019-04-21,Season 8,Episode 2,A Knight of the Seven Kingdoms,sam tarly,"Well, calling you ""fucked"" wouldn't be strictly accurate.",People
2019-04-21,Season 8,Episode 2,A Knight of the Seven Kingdoms,sam tarly,"Think back to where we started. Us, Grenn, Pyp.",People
2019-04-28,Season 8,Episode 3,The Long Night,sam tarly,Edd! Edd!,People
2019-05-19,Season 8,Episode 6,The Iron Throne,sam tarly,Why just us?,People
2019-05-19,Season 8,Episode 6,The Iron Throne,sam tarly,The Archmaester has done some research on this subject and it turns out-,People
2019-05-19,Season 8,Episode 6,The Iron Throne,sam tarly,Uh... the Archmaester is less than enthusiastic about the salutary effects of brothels.,People
